epoch;accuracy;loss;val_accuracy;val_loss
0;0.6058158278465271;3.1375887393951416;0.6159420013427734;2.932910442352295
1;0.6793214678764343;2.9293057918548584;0.717391312122345;2.859689474105835
2;0.7197092175483704;2.81484317779541;0.7681159377098083;2.802050828933716
3;0.7641357183456421;2.743398904800415;0.8115941882133484;2.754160165786743
4;0.8045234084129333;2.656582832336426;0.8115941882133484;2.6917495727539062
5;0.8214862942695618;2.5906102657318115;0.8333333134651184;2.643480062484741
6;0.841680109500885;2.5555453300476074;0.8405796885490417;2.614034414291382
7;0.8529887199401855;2.511697769165039;0.8333333134651184;2.5718882083892822
8;0.8699515461921692;2.4649972915649414;0.8840579986572266;2.509671211242676
9;0.8861066102981567;2.42150616645813;0.8985507488250732;2.438958168029785
10;0.9046849608421326;2.3586933612823486;0.8623188138008118;2.415550947189331
11;0.9095314741134644;2.3519959449768066;0.9057971239089966;2.364506721496582
12;0.915185809135437;2.3224809169769287;0.9057971239089966;2.3336992263793945
13;0.9192245602607727;2.2987072467803955;0.9130434989929199;2.300908088684082
14;0.9305331110954285;2.244058132171631;0.9347826242446899;2.259310483932495
15;0.9474959373474121;2.219149351119995;0.9275362491607666;2.2521824836730957
16;0.9273021221160889;2.212953805923462;0.9420289993286133;2.2090344429016113
17;0.9442649483680725;2.1710779666900635;0.9347826242446899;2.1988701820373535
18;0.9474959373474121;2.1324026584625244;0.9202898740768433;2.1635777950286865
19;0.95315021276474;2.1105432510375977;0.9492753744125366;2.1249358654022217
20;0.9402261972427368;2.1092464923858643;0.95652174949646;2.114147424697876
21;0.95315021276474;2.071089029312134;0.9492753744125366;2.0941312313079834
22;0.966882050037384;2.0331871509552;0.9275362491607666;2.1070539951324463
23;0.9620355367660522;2.018019914627075;0.9420289993286133;2.047590732574463
24;0.9636510610580444;1.9947576522827148;0.95652174949646;2.032837390899658
25;0.9717286229133606;1.9649080038070679;0.95652174949646;2.001004934310913
26;0.9652665853500366;1.9546931982040405;0.9637681245803833;1.9809249639511108
27;0.973344087600708;1.925075650215149;0.9637681245803833;1.9514447450637817
28;0.9781906008720398;1.8988696336746216;0.9637681245803833;1.9363912343978882
29;0.9757673740386963;1.8835021257400513;0.9637681245803833;1.9186965227127075
30;0.979806125164032;1.859392523765564;0.9710144996643066;1.8965764045715332
